OBJECTID,CECPlantID,PlantName,Retired Plant,Operator Company,County,Capacity_Latest,Units,PriEnergySource,StartDate,CEC_Jurisdictional,x,y
5063,G0294,Kings Beach - Retired 12/31/2002,1,Sierra Pacific Resources,Placer,0,"Unit 1, Unit 2, Unit 3, Unit 4, Unit 5, Unit 6",OIL,1/1/1969 12:00:00 AM,0,-120.026746883,39.2460488500001
5064,E0039,Fort Bragg Western Wood Products - Retired December 2001,1,Georgia Pacific Corp,Mendocino,0,GEN1,WDS,1/1/1980 12:00:00 AM,0,-123.811041336,39.443831323
5065,H0401,Potter Valley,0,Pacific Gas & Electric (PG&E),Mendocino,9.46,"1, 2, 3",WAT,3/1/1910 12:00:00 AM,0,-123.127955517,39.361807377
5066,G0934,Colusa Generating Station,0,Pacific Gas & Electric (PG&E),Colusa,692,"166, 336, 337",NG,12/22/2010 12:00:00 AM,1,-122.269787154,39.365957935
5067,S9120,Roplast Industries Inc.,0,Not Available,Butte,1.2,1,SUN,1/1/2012 12:00:00 AM,0,-121.562372574,39.4775046830001
5068,S9183,Pristine Sun Fund 1  LLC_(2125_Jarvis),0,Not Available,Butte,1,Unit 1,SUN,12/31/2013 12:00:00 AM,0,-121.566169806,39.4835982280001
5069,S9184,Pristine Sun Fund 1  LLC_(2094_Buzzelle),0,Not Available,Butte,1.25,Unit 1,SUN,12/31/2013 12:00:00 AM,0,-121.563901713,39.387807008
5070,E0064,Pacific Oroville Power Inc (Retired 10/20/2012),1,Covanta Power Pacific Inc,Butte,0,"GEN 1, GEN 2",WDS,12/1/1985 12:00:00 AM,0,-121.565544601,39.4810209390001
5071,G0424,Oroville Cogeneration LP,0,Oroville Cogeneration LP,Butte,7.49,"GEN1, GEN2, GEN3, GEN4, GEN5, GEN6, GEN7",NG,5/1/1990 12:00:00 AM,0,-121.562851273,39.492174882
5072,H0352,Colgate,0,Yuba County Water Agency,Yuba,315,"1, 2",WAT,3/12/1970 12:00:00 AM,0,-121.188840042,39.330916487
5073,H0053,Fish Power (NPCap = 0.15MW - No Reporting RQD),0,Yuba County Water Agency,Yuba,0.15,HY1,WAT,6/1/1986 12:00:00 AM,0,-121.140498017,39.3901993530001
5074,H0351,Bowman,0,Nevada Irrigation District,Nevada,3.6,Unit 1,WAT,9/1/1986 12:00:00 AM,0,-120.653421741,39.44834109
5075,H0490,Spaulding #1,0,Pacific Gas & Electric (PG&E),Nevada,7.04,1,WAT,5/1/1928 12:00:00 AM,0,-120.644773015,39.3246221470001
5076,H0491,Spaulding #2,0,Pacific Gas & Electric (PG&E),Nevada,3.7,1,WAT,7/1/1928 12:00:00 AM,0,-120.645305714,39.324607278
5077,H0492,Spaulding #3,0,Pacific Gas & Electric (PG&E),Nevada,6.61,572,WAT,1/1/1929 12:00:00 AM,0,-120.635527457,39.33767536
5078,H0497,Stampede,0,United States Bureau of Reclamation,Sierra,3.65,"1, 2",WAT,1/1/1988 12:00:00 AM,0,-120.10452538,39.470408671
5079,H0178,Farad (Non-operational since 1997),1,Sierra Pacific Resources,Nevada,0,"1, 2",WAT,1/1/1933 12:00:00 AM,0,-120.031493816,39.419829174
5080,H0500,Stony Gorge,0,Silicon Valley Power,Glenn,5,"1, 2",WAT,4/1/1986 12:00:00 AM,0,-122.533234124,39.5868160370001
5081,S9007,Rice Mill Inc. Far West,0,Not Available,Butte,1,1,SUN,1/1/2012 12:00:00 AM,0,-121.851795438,39.5509659370001
5082,H0510,Thermalito (Unit 1 HY Unit 2-3-4 Pumping-Generating),0,California Department of Water Resources,Butte,115.1,"1, 2, 3, 4",WAT,2/1/1968 12:00:00 AM,0,-121.63006617,39.514802677
5083,H0104,Coal Canyon,1,Pacific Gas & Electric (PG&E),Butte,0,1,WAT,12/1/1907 12:00:00 AM,0,-121.600505139,39.6050507850001
5084,E0248,Ameresco Butte County Neal Road Landfill,0,Ameresco Inc,Butte,1,Unit 1,LFG,11/23/2012 12:00:00 AM,0,-121.726416461,39.67463295
5085,H0164,"Edward C Hyatt (Unit 1,3,5 Pumping-Generating)",0,California Department of Water Resources,Butte,644.25,"1, 2, 3, 4, 5, 6",WAT,3/1/1968 12:00:00 AM,0,-121.492268293,39.542894216
5086,H0263,Kelly Ridge,0,South Feather Water and Power,Butte,10,1,WAT,9/1/1963 12:00:00 AM,0,-121.49123526,39.531674407
5087,H0511,Thermalito Diversion Dam,0,California Department of Water Resources,Butte,2.97,TD1,WAT,7/1/1987 12:00:00 AM,0,-121.546332789,39.52875707
5088,S9185,Pristine Sun Fund 6 Butte PGE LLC_(2096_Cotton),0,Not Available,Butte,1,Unit 1,SUN,12/31/2013 12:00:00 AM,0,-121.4593552,39.5083080520001
5089,H0191,Forbestown,0,South Feather Water and Power,Butte,39.7,1,WAT,10/1/1963 12:00:00 AM,0,-121.278720351,39.5509709680001
5090,H0427,Kanaka,0,Not Available,Butte,1.12,KAN1,WAT,12/1/1988 12:00:00 AM,0,-121.296195875,39.5589181490001
